动画 ID,官方英文名,中文名,动画时长,事件序号,开始(s),结束(s),≤时长?,type,JumpTableID,Trigger 英文名,Trigger 中文名,重要度,字段/参数
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,16,0,3.067,✓,0,3,InvokeShieldBlock,★ 触发盾防御 (ArgB=角度),★★★★★,"ArgA=0.0, ArgB=90, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,10,0,3.067,✓,0,11,End If LS Move Queued,缓冲: 左摇杆移动 → 取消,★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,8,0,3.067,✓,0,26,End If Dodge Queued,缓冲: 闪避 → 取消,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,9,0,3.067,✓,0,31,InvokeAnimCancelEnd_UseItem,道具使用 取消窗口,★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,11,0,3.067,✓,0,32,End If Weapon Switch Queued,缓冲: 切武器 → 取消,★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,0,0,3.067,✓,0,87,InvokeAttackAction_Complex,触发攻击判定 (复杂),★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,1,0,3.067,✓,0,115,InvokeAnimCancelEnd_R1_LightKick,R1 攻击 取消窗口,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,6,0,3.067,✓,0,118,InvokeAnimCancelEnd_L2,L2 招式 取消窗口,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,7,0,3.067,✓,0,119,TryToInvokeForceParryMode,★ 强制进入弹反模式,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,12,0,3.067,✓,0,133,JumpTable_133,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,13,0,3.067,✓,0,134,JumpTable_134,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,4,0,3.067,✓,0,137,JumpTable_137,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,2,0,3.067,✓,0,154,JumpTable_154,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,17,0,0.2,✓,16,,Blend,动画混合,★★,
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,3,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100337
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,5,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100368
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,18,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=400214
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,19,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100320
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,20,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100274
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,21,0,3.067,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100397
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,14,0,3.067,✓,224,,SetTurnSpeed,设置转身速度,★★★★,"TurnSpeed=0.0, IsLockOnCheck=0"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,23,0,10,★延续,607,,FacialExpressionAdditive,面部表情叠加,★,"field_1=1, field_2=1.0, field_3=1.0"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,22,0,3.333,✓,700,,Unknown_700,(未分类),★,"field_0=-1.0, field_1=-1.0, field_2=-1.0, field_3=-1.0, field_5=3, field_9=-1.0, field_10=-1.0, field_11=-1.0, field_12=-1.0"
a050_002000,DeflectGuardIdle,弹刀防御待机,3.333,15,0,3.067,✓,960,,Unknown_960,(未分类),★,field_0=10
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,24,0,0.767,✓,0,3,InvokeShieldBlock,★ 触发盾防御 (ArgB=角度),★★★★★,"ArgA=0.0, ArgB=90, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,0,0,0.767,✓,0,87,InvokeAttackAction_Complex,触发攻击判定 (复杂),★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,20,0,0.767,✓,0,133,JumpTable_133,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,21,0,0.767,✓,0,134,JumpTable_134,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,1,0,0.2,✓,16,,Blend,动画混合,★★,
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,25,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=400214
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,26,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100320
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,27,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100274
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,28,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100397
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,29,0,10,★延续,607,,FacialExpressionAdditive,面部表情叠加,★,"field_1=1, field_2=1.0, field_3=1.0"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,5,0,3.333,✓,700,,Unknown_700,(未分类),★,"field_0=-1.0, field_1=-1.0, field_2=-1.0, field_3=-1.0, field_5=3, field_9=-1.0, field_10=-1.0, field_11=-1.0, field_12=-1.0"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,23,0,0.767,✓,960,,Unknown_960,(未分类),★,field_0=10
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,2,0.067,0.167,✓,128,,PlaySound_General,音效·通用,★★★,"SoundType=8, SoundID=2001"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,16,0.1,0.767,✓,0,26,End If Dodge Queued,缓冲: 闪避 → 取消,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,6,0.1,0.767,✓,0,115,InvokeAnimCancelEnd_R1_LightKick,R1 攻击 取消窗口,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,14,0.1,0.767,✓,0,118,InvokeAnimCancelEnd_L2,L2 招式 取消窗口,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,15,0.1,0.767,✓,0,119,TryToInvokeForceParryMode,★ 强制进入弹反模式,★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,12,0.1,0.767,✓,0,137,JumpTable_137,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,9,0.1,0.767,✓,0,154,JumpTable_154,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,10,0.1,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100337
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,3,0.1,0.2,✓,112,,SpawnFFX_ByFloor,粒子·按地面材质,★★★,"FFXID=0, DummyPolyID=5"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,22,0.2,0.767,✓,0,7,Disable Turning,禁止转身,★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,18,0.2,0.767,✓,0,11,End If LS Move Queued,缓冲: 左摇杆移动 → 取消,★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,17,0.2,0.767,✓,0,31,InvokeAnimCancelEnd_UseItem,道具使用 取消窗口,★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,19,0.2,0.767,✓,0,32,End If Weapon Switch Queued,缓冲: 切武器 → 取消,★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,11,0.2,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100367
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,13,0.2,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100368
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,4,0.2,0.3,✓,128,,PlaySound_General,音效·通用,★★★,"SoundType=8, SoundID=2001"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,7,0.233,0.333,✓,112,,SpawnFFX_ByFloor,粒子·按地面材质,★★★,"FFXID=0, DummyPolyID=6"
a050_002010,DeflectGuardQuickTurnLeft90,弹刀防御快速转身Left90,3.333,8,0.3,0.4,✓,128,,PlaySound_General,音效·通用,★★★,"SoundType=9, SoundID=0"
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,24,0,0.767,✓,0,3,InvokeShieldBlock,★ 触发盾防御 (ArgB=角度),★★★★★,"ArgA=0.0, ArgB=90, ArgC=6"
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,0,0,0.767,✓,0,87,InvokeAttackAction_Complex,触发攻击判定 (复杂),★★★★★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,20,0,0.767,✓,0,133,JumpTable_133,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,21,0,0.767,✓,0,134,JumpTable_134,(未分类),★,"ArgA=0.0, ArgB=-1, ArgC=6"
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,1,0,0.2,✓,16,,Blend,动画混合,★★,
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,25,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=400214
a050_002011,DeflectGuardQuickTurnRight90,弹刀防御快速转身Right90,3.333,26,0,0.767,✓,67,,AddSpEffect,添加状态效果 (SpEffectID),★★★★★,SpEffectID=100320
