"帧号
frame","时间(秒)
time_s","叶子状态（行为树最深活跃状态名）
leaf_state","状态ID链
state_id_chain
(17/3/9 形式，对照 behbnd 层级)","主体动画ID
motion_clip
（CMSG_Motion 下半身动画）","动画层ID
anime_clip
（CMSG_Anime）","脸部动画ID
face_clip","本帧全部动画(\|分隔)
all_clips","主动画英文名
motion_clip_en","主动画中文名
motion_clip_cn","主动画时长(秒)
motion_clip_dur","状态效果ID
motion_clip_speffect","帧聚合ID
debug_unique_id（判断切换点）"
0,0,StandIdle,17/0,a000_000000,,a000_790010,a000_000000|a000_790010,StandIdle,站立待机,0.3,,1
1,0.017,StandIdle,17/0,a000_000000,,a000_790010,a000_000000|a000_790010,StandIdle,站立待机,0.3,,1
2,0.033,StandIdle,17/0,a000_000000,,a000_790010,a000_000000|a000_790010,StandIdle,站立待机,0.3,,1
3,0.05,StandIdle,17/0,a000_000000,,a000_790010,a000_000000|a000_790010,StandIdle,站立待机,0.3,,1
4,0.067,StandIdle,17/0,a000_000000,,a000_790010,a000_000000|a000_790010,StandIdle,站立待机,0.3,,1
5,0.083,AddBlendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",2
6,0.1,AddBlendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",2
7,0.117,AddBlendFace,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",2
8,0.133,standMovestart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",3
9,0.15,standMovestart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",3
10,0.167,AddBlendFace,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",4
11,0.183,AddBlendFace,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",4
12,0.2,StandMoveStartstateldzs,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",5
13,0.217,StandMoveStartstateldzs,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",5
14,0.233,StandMoveStartstateldzs,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",5
15,0.25,StandMoveStartstateldzs,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",5
16,0.267,StandMove,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",6
17,0.283,StandMove,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",6
18,0.3,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",7
19,0.317,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",7
20,0.333,StandMoveStart,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",7
21,0.35,StandMovestart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",8
22,0.367,StandMoveStart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",9
23,0.383,StandMoveStart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",9
24,0.4,StandMoveStart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",9
25,0.417,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",10
26,0.433,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",10
27,0.45,StandMave,17/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",10
28,0.467,StandMoveStart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",11
29,0.483,StandMoveStart,17/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",11
30,0.5,AddBlendFace,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",12
31,0.517,AddBlendFace,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",12
32,0.533,AddBlendFace,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",12
33,0.55,AddBlendFace,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",12
34,0.567,AddBlendFace,1/5/0,a000_000400,a000_000400_Anime,a000_790010,a000_000400|a000_000400_Anime|a000_790010,StandRunLowerStart_F[A],站立跑步起步(下半身)·前,3.333,"100001, 100240, 100295, 100366",12
